gene_id	gene_name	sampleGSM461176	sampleGSM461177	sampleGSM461178	sampleGSM461179	sampleGSM461180	sampleGSM461181	sampleGSM461182
FBgn0045477	Gr64c	0	2	0	0	2	0	0
FBgn0045478	Gr64b	0	2	0	0	2	0	0
FBgn0035486	Gr64d	3	0	6	1	6	2	0
FBgn0045476	Gr64e	3	0	6	1	6	2	0
FBgn0266402	asRNA:CR45042	0	0	2	0	0	2	0
FBgn0052255	Gr64f	2	6	3	1	3	6	3
FBgn0035488	CG11593	713	735	705	528	626	799	581
FBgn0263832	Rcd5	1126	1282	1417	982	1432	1848	1222
FBgn0035490	CG1136	1	0	0	2	1	2	1
FBgn0035491	Dpy-30L2	0	0	0	0	0	1	0
FBgn0042179	Ugt305A1	2	4	2	4	4	4	0
FBgn0000449	dib	0	0	0	1	0	0	1
FBgn0024179	wit	5	10	4	6	0	10	6
FBgn0052259	CG32259	0	2	0	2	0	0	1
FBgn0016013	Faa	7	6	8	3	4	10	5
FBgn0004516	Gad1	6	1	1	0	2	4	1
FBgn0035495	CG14989	1	1	0	0	4	0	0
FBgn0035496	CG14990	318	318	370	168	209	298	297
FBgn0035497	CG14995	621	776	543	489	575	729	564
FBgn0035498	Fit1	1143	1361	1231	1070	1230	1599	1226
FBgn0267230	lncRNA:CR45670	13	10	4	7	4	2	8
FBgn0028484	Ack	1236	1821	1666	1143	1685	2325	1396
FBgn0035499	Chd64	10221	10824	9302	9031	10026	13056	7820
FBgn0264693	ens	5332	7460	5753	3572	4344	5633	5867
FBgn0260985	RfC4	1158	1386	1679	963	1581	2030	1370
FBgn0004574	Rop	2767	4640	4510	2388	4419	5708	4424
FBgn0003206	Ras64B	1044	948	1052	1013	980	1349	1164
FBgn0004552	Akh	4	7	2	6	5	8	4
FBgn0052260	CG32260	8	6	8	5	12	14	8
FBgn0035501	CG1299	17	16	23	12	16	11	15
FBgn0259986	nab	5	7	2	0	2	5	2
FBgn0011653	mas	14	18	3	5	9	10	3
FBgn0265722	lncRNA:CR44529	0	0	2	0	0	0	0
FBgn0261274	Ero1L	1036	1103	1064	872	891	1245	964
FBgn0040696	CG18675	230	201	197	193	119	203	198
FBgn0035504	Teh4	3	8	4	6	5	9	6
FBgn0035505	Teh2	207	174	171	176	101	177	179
FBgn0040697	Teh3	1	8	4	2	0	0	4
FBgn0028664	VhaM9.7-c	202	157	158	165	98	165	172
FBgn0003710	tipE	19	19	13	13	7	15	13
FBgn0263110	CG43367	2098	2567	1994	1738	2051	2293	2520
FBgn0035508	CG15005	3	3	4	0	2	5	4
FBgn0035510	Cpr64Aa	3	2	6	2	5	3	8
FBgn0035511	Cpr64Ab	2	0	2	4	1	0	3
FBgn0035512	Cpr64Ac	9	21	13	15	29	34	18
FBgn0035513	Cpr64Ad	10	21	10	6	21	21	25
FBgn0052252	asRNA:CR32252	105	209	177	106	133	166	186
FBgn0001257	ImpL2	10332	10170	9269	12783	14626	19742	6512
FBgn0287590	CG46460	8118	8618	8080	9782	12694	17645	5314
FBgn0267302	asRNA:CR45738	47	33	50	46	41	54	29
FBgn0035515	Sqor	190	249	261	248	311	428	285
FBgn0011692	pav	1772	2306	2207	2072	2786	3453	2418
FBgn0041171	ago	2416	3536	3268	1890	3078	3637	3072
FBgn0035517	CG1265	201	336	383	360	475	558	445
FBgn0035518	CG15011	347	463	468	365	533	706	534
FBgn0035519	CG1309	740	811	960	671	907	1292	955
FBgn0035520	CG11586	350	290	389	331	398	546	393
FBgn0035521	VhaM9.7-a	0	0	0	0	0	0	0
FBgn0035522	CG1273	7	4	0	5	0	8	1
FBgn0053764	CG33764	0	0	0	0	0	0	0
FBgn0035523	Ctl1	43	26	48	109	126	87	53
FBgn0035524	CG11583	765	697	818	594	628	869	709
FBgn0261952	srw	0	0	2	1	0	0	0
FBgn0035526	CG1316	1644	1704	1773	1200	1568	2183	1898
FBgn0015829	TfIIEbeta	183	209	262	217	225	365	218
FBgn0041630	Hexo1	791	1197	1291	886	1379	1702	1027
FBgn0035528	CG15012	1956	1402	1598	1359	1365	1829	1571
FBgn0035529	Fdx2	209	230	315	172	248	295	256
FBgn0066365	dyl	3	1	7	1	0	0	0
FBgn0052251	Claspin	1419	1839	1489	970	1100	1430	1235
FBgn0052250	PMP34	180	287	245	208	315	346	240
FBgn0035532	CG15014	244	251	246	227	242	386	246
FBgn0035533	Cip4	4613	5520	4937	3950	4592	5878	6459
FBgn0266649	lncRNA:CR45156	17	30	19	32	15	26	27
FBgn0035534	mRpS6	96	110	125	73	122	189	104
FBgn0053514	CG33514	11	6	1	10	8	6	14
FBgn0035537	CG11342	18	30	19	27	35	54	37
FBgn0035538	DopEcR	8	8	6	5	9	4	4
FBgn0265467	lncRNA:CR44360	0	0	0	0	0	0	0
FBgn0052240	CG32240	0	0	1	1	0	0	3
FBgn0035539	slow	12	7	7	21	37	75	22
FBgn0035540	Syx17	268	338	326	208	212	339	277
FBgn0035541	CG15019	822	707	564	523	493	627	692
FBgn0035542	TP53INP	1026	1276	923	414	487	712	483
FBgn0035543	CG15020	0	2	2	1	0	2	1
FBgn0000038	nAChRbeta1	0	0	0	0	0	0	1
FBgn0035544	CG15021	0	0	0	0	0	0	0
